Ddye01G004490	evm.TU.HIC_ASM_0.610
Ddye01G004500	evm.TU.HIC_ASM_0.613
Ddye01G004510	evm.TU.HIC_ASM_0.614
Ddye01G004520	evm.TU.HIC_ASM_0.615
Ddye01G004530	evm.TU.HIC_ASM_0.616
Ddye01G004540	evm.TU.HIC_ASM_0.618
Ddye01G004550	evm.TU.HIC_ASM_0.620
Ddye01G004560	evm.TU.HIC_ASM_0.621
Ddye01G004570	evm.TU.HIC_ASM_0.623
Ddye01G004580	evm.TU.HIC_ASM_0.624
Ddye01G004590	evm.TU.HIC_ASM_0.626
Ddye01G004600	evm.TU.HIC_ASM_0.627
Ddye01G004610	evm.TU.HIC_ASM_0.628
Ddye01G004620	evm.TU.HIC_ASM_0.632
Ddye01G004630	evm.TU.HIC_ASM_0.634
Ddye01G004640	evm.TU.HIC_ASM_0.635
Ddye01G004650	evm.TU.HIC_ASM_0.636
Ddye01G004660	evm.TU.HIC_ASM_0.637
Ddye01G004670	evm.TU.HIC_ASM_0.638
Ddye01G004680	evm.TU.HIC_ASM_0.639
Ddye01G004690	evm.TU.HIC_ASM_0.640
Ddye01G004700	evm.TU.HIC_ASM_0.641
Ddye01G004710	evm.TU.HIC_ASM_0.642
Ddye01G004720	evm.TU.HIC_ASM_0.643
Ddye01G004730	evm.TU.HIC_ASM_0.644
Ddye01G004740	evm.TU.HIC_ASM_0.645
Ddye01G004750	evm.TU.HIC_ASM_0.646
Ddye01G004760	evm.TU.HIC_ASM_0.647
Ddye01G004770	evm.TU.HIC_ASM_0.648
Ddye01G004780	evm.TU.HIC_ASM_0.649
Ddye01G004790	evm.TU.HIC_ASM_0.650
Ddye01G004800	evm.TU.HIC_ASM_0.652
Ddye01G004810	evm.TU.HIC_ASM_0.653
Ddye01G004820	evm.TU.HIC_ASM_0.654
Ddye01G004830	evm.TU.HIC_ASM_0.656
Ddye01G004840	evm.TU.HIC_ASM_0.657
Ddye01G004850	evm.TU.HIC_ASM_0.658
Ddye01G004860	evm.TU.HIC_ASM_0.659
Ddye01G004870	evm.TU.HIC_ASM_0.660
Ddye01G004880	evm.TU.HIC_ASM_0.661
Ddye01G004890	evm.TU.HIC_ASM_0.662
Ddye01G004900	evm.TU.HIC_ASM_0.663
Ddye01G004910	evm.TU.HIC_ASM_0.664
Ddye01G004920	evm.TU.HIC_ASM_0.665
Ddye01G004930	evm.TU.HIC_ASM_0.666
Ddye01G004940	evm.TU.HIC_ASM_0.667
Ddye01G004950	evm.TU.HIC_ASM_0.668
Ddye01G004960	evm.TU.HIC_ASM_0.670
Ddye01G004970	evm.TU.HIC_ASM_0.671
Ddye01G004980	evm.TU.HIC_ASM_0.672
Ddye01G004990	evm.TU.HIC_ASM_0.673
Ddye01G005000	evm.TU.HIC_ASM_0.674
Ddye01G005010	evm.TU.HIC_ASM_0.676
Ddye01G005020	evm.TU.HIC_ASM_0.677
Ddye01G005030	evm.TU.HIC_ASM_0.678
Ddye01G005040	evm.TU.HIC_ASM_0.679
Ddye01G005050	evm.TU.HIC_ASM_0.680
Ddye01G005060	evm.TU.HIC_ASM_0.681
Ddye01G005070	evm.TU.HIC_ASM_0.683
Ddye01G005080	evm.TU.HIC_ASM_0.684
Ddye01G005090	evm.TU.HIC_ASM_0.689
Ddye01G005100	evm.TU.HIC_ASM_0.690
Ddye01G005110	evm.TU.HIC_ASM_0.691
Ddye01G005120	evm.TU.HIC_ASM_0.692
Ddye01G005130	evm.TU.HIC_ASM_0.693
