Acat07G009930.1	EVM0000552.1
Acat04G008220.1	EVM0000553.1
Acat11G023110.1	EVM0000554.1
Acat11G014570.1	EVM0000555.2
Acat09G013100.1	EVM0000556.2
Acat11G010580.1	EVM0000557.1
Acat07G003420.1	EVM0000558.1
Acat09G004470.1	EVM0000559.1
Acat03G007070.1	EVM0000560.1
Acat11G007560.1	EVM0000561.1
Acat09G016830.1	EVM0000562.1
Acat12G016420.1	EVM0000563.1
Acat0092S000020.1	EVM0000564.1
Acat06G015470.1	EVM0000565.1
Acat01G016290.1	EVM0000566.1
Acat04G010780.1	EVM0000567.1
Acat0967S000920.1	EVM0000568.1
Acat10G008680.1	EVM0000569.1
Acat07G008610.1	EVM0000570.3
Acat02G010330.1	EVM0000571.1
Acat06G017190.1	EVM0000572.1
Acat11G001530.1	EVM0000573.1
Acat1316S000030.1	EVM0000574.1
Acat09G013460.1	EVM0000575.3
Acat06G017480.1	EVM0000576.1
Acat01G009330.1	EVM0000577.1
Acat05G012930.1	EVM0000578.1
Acat03G002350.1	EVM0000579.1
Acat01G030090.1	EVM0000580.1
Acat12G019000.1	EVM0000581.1
Acat07G010580.1	EVM0000582.1
Acat02G000890.1	EVM0000583.1
Acat03G002770.1	EVM0000584.1
Acat03G009340.1	EVM0000585.1
Acat02G020310.1	EVM0000586.1
Acat07G004720.1	EVM0000587.1
Acat10G008990.1	EVM0000588.1
Acat02G031820.1	EVM0000589.1
Acat0070S000020.1	EVM0000590.1
Acat13G003700.1	EVM0000591.1
Acat02G007270.1	EVM0000592.1
Acat09G006170.1	EVM0000593.1
Acat06G010190.1	EVM0000594.1
Acat0735S000070.1	EVM0000595.1
Acat05G008510.1	EVM0000596.1
Acat05G016300.1	EVM0000597.1
Acat13G011040.1	EVM0000598.1
Acat1056S000010.1	EVM0000599.1
Acat12G002280.1	EVM0000600.1
Acat0563S000610.1	EVM0000601.1
Acat07G007210.1	EVM0000602.1
Acat1862S000060.1	EVM0000603.1
Acat06G010140.1	EVM0000604.1
Acat12G011240.1	EVM0000605.1
Acat09G003330.1	EVM0000606.1
Acat13G012050.1	EVM0000607.1
Acat08G010280.1	EVM0000608.1
Acat05G014100.1	EVM0000609.1
Acat05G004160.1	EVM0000610.1
Acat04G014170.1	EVM0000611.1
Acat06G018780.1	EVM0000612.1
Acat02G016250.1	EVM0000613.1
Acat07G004240.1	EVM0000614.1
Acat12G000540.1	EVM0000615.1
Acat10G008860.1	EVM0000616.1
Acat07G003800.1	EVM0000617.1
Acat10G015730.1	EVM0000618.1
Acat13G005640.1	EVM0000619.1
Acat1232S000210.1	EVM0000620.1
Acat08G011990.1	EVM0000621.1
Acat01G009780.1	EVM0000622.1
Acat03G019310.1	EVM0000623.1
Acat0493S000010.1	EVM0000624.1
Acat13G000630.1	EVM0000625.1
Acat01G019390.1	EVM0000626.1
Acat09G015550.1	EVM0000627.1
Acat04G023230.1	EVM0000628.1
Acat08G001460.1	EVM0000629.1
Acat10G016680.1	EVM0000630.1
Acat13G009040.1	EVM0000631.1
Acat10G016390.1	EVM0000632.1
Acat1898S000030.1	EVM0000633.1
Acat10G016970.1	EVM0000634.1
Acat09G002090.1	EVM0000635.1
Acat1961S000010.1	EVM0000636.1
Acat0803S000020.1	EVM0000637.1
Acat02G017920.1	EVM0000638.1
Acat01G005010.1	EVM0000639.1
Acat06G000270.1	EVM0000640.1
Acat08G008090.1	EVM0000641.1
Acat02G034500.1	EVM0000642.1
Acat1861S000010.1	EVM0000643.1
Acat11G021870.1	EVM0000644.1
Acat11G005140.1	EVM0000645.1
Acat03G009470.1	EVM0000646.1
Acat08G016150.1	EVM0000647.1
Acat03G033850.1	EVM0000648.1
Acat06G017300.1	EVM0000649.1
Acat04G015750.1	EVM0000650.1
Acat04G000560.1	EVM0000651.2
Acat08G014990.1	EVM0000652.1
Acat09G009540.1	EVM0000653.1
Acat01G013680.1	EVM0000654.1
Acat02G024410.1	EVM0000655.1
Acat1633S000030.1	EVM0000656.1
Acat1948S000010.1	EVM0000657.1
Acat12G014540.1	EVM0000658.1
Acat08G004620.1	EVM0000659.1
Acat02G014790.1	EVM0000660.1
Acat06G004290.1	EVM0000661.1
Acat07G005950.1	EVM0000662.1
Acat06G006430.1	EVM0000663.2
Acat02G025080.1	EVM0000664.1
Acat03G017350.1	EVM0000665.1
Acat0775S000020.1	EVM0000666.1
Acat06G007570.1	EVM0000667.1
Acat01G022900.1	EVM0000668.1
Acat03G034550.1	EVM0000669.1
Acat09G012510.1	EVM0000670.1
Acat12G013900.1	EVM0000671.1
Acat11G007390.1	EVM0000672.1
Acat12G019260.1	EVM0000673.1
Acat11G016610.1	EVM0000674.1
Acat11G004790.1	EVM0000675.1
Acat06G018290.1	EVM0000676.1
Acat11G021010.1	EVM0000677.1
Acat10G019070.1	EVM0000678.1
Acat01G009740.1	EVM0000679.1
Acat08G017520.1	EVM0000680.1
Acat10G013810.1	EVM0000681.1
Acat01G009860.1	EVM0000682.1
Acat12G014940.1	EVM0000683.1
Acat04G012380.1	EVM0000684.1
Acat01G004730.1	EVM0000685.1
Acat03G020970.1	EVM0000686.1
Acat10G011970.1	EVM0000687.1
Acat01G033310.1	EVM0000688.1
Acat05G012660.1	EVM0000689.1
Acat07G005680.1	EVM0000690.1
Acat12G014950.1	EVM0000691.1
Acat0958S000140.1	EVM0000692.1
Acat02G034070.1	EVM0000693.1
Acat05G000150.1	EVM0000694.1
Acat08G014730.1	EVM0000695.1
Acat04G014960.1	EVM0000696.1
Acat06G003670.1	EVM0000697.1
Acat13G016560.1	EVM0000698.1
Acat10G000840.1	EVM0000699.1
Acat06G012960.1	EVM0000700.1
Acat13G019230.1	EVM0000701.3
Acat03G016240.1	EVM0000702.1
Acat11G017190.1	EVM0000703.1
Acat04G024120.1	EVM0000704.1
Acat08G004900.1	EVM0000705.2
Acat08G010340.1	EVM0000706.2
Acat11G001110.1	EVM0000707.1
Acat02G034370.1	EVM0000708.1
Acat01G002880.1	EVM0000709.1
Acat1007S000020.1	EVM0000710.1
Acat01G022880.1	EVM0000711.1
